EmployeeHash,Section,JobTitle,HireDate,TerminationDate,TerminationReason
c4bc1d4de169a8b54e2547dee0b55c3719e76fb3f1c89d71bbf25d85d6258581,Administration,Director,1989-02-02,,
d4beffb1ce16ccd40da9235bf02415bbe0fb5422d1e1807c5a9c2998b303e8e9,Quality,Assistant,1991-05-18,,
e9befe6e21c28d13da403906587aa903274e55220ee292f8f096741373073780,Maintenance,Operator,1992-12-19,,
d46b43bc4afeb2f260d8ff5ec77216a358e843d2efa7e94ad253226beea34498,Production,Operator,1993-05-09,,
52fcf2508917d3aec7adfc53f822c46050734ae1202001f76d982788d7087958,Environmental,Operator,1993-10-06,,
61b26a93d8b2f31b8c4d25515fe53fcd2ffff231f30dac09c91d0da7bd2d33c1,Production,Assistant,1994-01-31,,
52c384820e47722f91b236b70d9ce16eba138e8e23bce593001200dd53175098,Production,Operator,1994-10-08,,
50f323480242ecc97d4d43a8c60f37ebe7cb1485c411a132e514eecab853ccc9,Logistics,Operator,1995-03-14,,
02ab31f1169b1beea7c5400509c8884aab8d285e40b651284a3a76f327f8c2e6,Production,Assistant,1995-07-01,,
f99ec6fb778927fa4f15dbaa8955329550468cd3a3e1c6a7359e1993ae0d7137,Production,Assistant,1995-08-10,,
96cac1330a4ce271938bbae1d3db20a387b9ee1d21cb9543486103066b1ec926,Production,Operator,1995-12-24,,
fc297c7e2a9ac2452aafa2f5890b9e5c3a19bd6c51d2c6ed35b846371aebdc08,Logistics,Assistant,1996-01-02,,
06582dadfe5ef957fb1b720a1aaccea4dd3e569a98fe3ac92781efc390cda952,Logistics,Assistant,1996-01-19,,
f0daab74340365808c1f71d8af5e9116259ddfb405ab05fd63cbaca1d532e321,Logistics,Assistant,1996-02-01,,
451ebedc55f8d32ddd385865e0b646b3a19bebc72f38a5811806935a154f0f08,Facilities,Assistant,1996-02-06,,
baa2b54ac39aaf7cadb87a7ee609198072ffa8e3ad3f7e0cf362c54c327e42a1,Production,Assistant,1996-03-15,,
f80b86d7fad1e6ee8aff516bbc60c0f928241b19df144e687e298c5d366093e9,Production,Operator,1996-03-18,,
0e63595367c2714b75e31581eadb8b932a6e2db86ecd7f884d4c6a3f16f31512,Maintenance,Leader,1996-04-16,,
4d8ec87b6e24befab9aeec17ac050bebb77f6ca53c48c103e405c665343acbf3,Logistics,Operator,1996-06-10,,
90e843da16735214019d2867133799c6b18dec2281321f2e505ac0b4965f717e,Production,Operator,1996-07-28,,
a2a6bd82b023c80c1dfb9e38c9a231f87a5f9381d8d095c0a818bf115b9517e4,Sales,Manager,1997-03-22,,
